gene_id	module
ENSG00000148798.10	turquoise
ENSG00000107954.10	turquoise
ENSG00000107957.16	blue
ENSG00000065618.18	black
ENSG00000065621.14	brown
ENSG00000108018.15	turquoise
ENSG00000148700.14	brown
ENSG00000138166.5	turquoise
ENSG00000203867.7	grey
ENSG00000150593.17	turquoise
ENSG00000214413.7	turquoise
ENSG00000150594.6	turquoise
ENSG00000119927.13	purple
ENSG00000197142.10	brown
ENSG00000148737.16	turquoise
ENSG00000148735.14	grey
ENSG00000043591.5	grey
ENSG00000095627.9	grey
ENSG00000165816.12	turquoise
ENSG00000169129.14	blue
ENSG00000099204.18	red
ENSG00000107518.16	grey
ENSG00000151892.14	turquoise
ENSG00000165863.16	turquoise
ENSG00000188613.6	turquoise
ENSG00000148908.14	brown
ENSG00000151929.9	brown
ENSG00000203805.10	blue
ENSG00000066468.22	grey
ENSG00000138162.18	grey
ENSG00000166033.11	pink
ENSG00000187908.16	grey
ENSG00000196177.12	turquoise
ENSG00000154478.3	grey
ENSG00000121898.12	blue
ENSG00000182022.17	turquoise
ENSG00000065154.11	grey
ENSG00000229544.8	turquoise
ENSG00000203780.10	turquoise
ENSG00000148848.14	blue
ENSG00000188916.8	turquoise
ENSG00000148773.13	turquoise
ENSG00000170430.9	salmon
ENSG00000176171.11	black
ENSG00000151640.12	magenta
ENSG00000171798.17	grey
ENSG00000151651.15	brown
ENSG00000142102.15	red
ENSG00000185201.16	cyan
ENSG00000185885.15	cyan
ENSG00000142089.15	cyan
ENSG00000182272.11	red
ENSG00000184363.9	salmon
ENSG00000185187.12	red
ENSG00000185101.12	red
ENSG00000174775.16	salmon
ENSG00000161328.10	turquoise
ENSG00000185522.8	red
ENSG00000099849.14	red
ENSG00000185507.19	cyan
ENSG00000177106.14	salmon
ENSG00000177600.8	salmon
ENSG00000177666.16	red
ENSG00000177685.16	red
ENSG00000214063.10	pink
ENSG00000184956.15	grey
ENSG00000215182.8	grey
ENSG00000117983.17	turquoise
ENSG00000174672.15	greenyellow
ENSG00000184545.10	grey
ENSG00000244242.1	salmon
ENSG00000250644.3	brown
ENSG00000117984.13	brown
ENSG00000149043.16	turquoise
ENSG00000130592.15	brown
ENSG00000167244.18	black
ENSG00000129965.13	black
ENSG00000183734.4	salmon
ENSG00000129757.12	pink
ENSG00000110628.13	red
ENSG00000181649.5	salmon
ENSG00000244734.3	purple
ENSG00000132274.15	brown
ENSG00000170955.9	pink
ENSG00000166313.18	turquoise
ENSG00000110169.10	turquoise
ENSG00000110171.19	turquoise
ENSG00000166341.7	blue
ENSG00000170743.16	turquoise
ENSG00000166387.11	grey
ENSG00000166394.14	turquoise
ENSG00000166402.8	grey
ENSG00000166405.14	grey
ENSG00000166441.12	salmon
ENSG00000175352.10	grey
ENSG00000175356.12	turquoise
ENSG00000133812.15	salmon
ENSG00000148926.9	turquoise
ENSG00000072952.18	blue
